,PASSION,Max_Similarity_Column
1093,ENGINNEER,Engineer
1094,TEachER,Teacher
1095,pharacist,Pharmacist
1096,daktor,Doctor
1097,dentss,Dentist
1098,Engenier,Engineer
1099,LAWYr,Lawyer
1100,nurxe,Nurse
1101,docteor,Doctor
1102,enjeenerr,Engineer
1103,ARCITECT,Architect
1104,enjeeneer,Engineer
1105,docture,Doctor
1106,doktaer,Doctor
1107,dentism,Dentist
1108,nirs,Nurse
1109,nurce,Nurse
1110,Enginnier,Engineer
1111,enjeineerr,Engineer
1112,pOlIcE,Police
1113,DENSTISTS,Dentist
1114,ENGINER,Engineer
1115,TeaCheR,Teacher
1116,pOlIcE,Police
1117,PolICE,Police
1118,nurrs,Nurse
1119,PHRAMACIST,Pharmacist
1120,DOCTA,Doctor
1121,DOCKTOR,Doctor
1122,arkhiteckt,Architect
1123,TeacHEr,Teacher
1124,architekt,Architect
1125,DOCTORE,Doctor
1126,enganiar,Engineer
1127,LawyEr,Lawyer
1128,denitist,Dentist
1129,POLicE,Police
1130,POlICE,Police
1131,dentiss,Dentist
1132,TEaCheR,Teacher
1133,engeineer,Engineer
1134,pOlICE,Police
1135,engeneaar,Engineer
1136,denisst,Dentist
1137,nurxe,Nurse
1138,dentists,Dentist
1139,doktoer,Doctor
1140,DOKCUTER,Doctor
1141,DENTISTA,Dentist
1142,enginear,Engineer
1143,dactir,Architect
1144,TEAcHEr,Teacher
1145,teAchEr,Teacher
1146,engeinear,Engineer
1147,Enginier,Engineer
1148,engieaar,Engineer
1149,engeneear,Engineer
1150,DOCTEOR,Doctor
1151,Enginnear,Engineer
1152,DENTISIT,Dentist
1153,enjneer,Engineer
1154,DENTIIST,Dentist
1155,engeenear,Engineer
1156,TeAcHEr,Teacher
1157,lawyeR,Lawyer
1158,DOKCTAR,Doctor
1159,TEaCHEr,Teacher
1160,docktor,Doctor
1161,doctar,Doctor
1162,PoLICe,Police
1163,TeACHeR,Teacher
1164,enjeeneaar,Engineer
1165,dentists,Dentist
1166,dOCToER,Doctor
1167,engeenearr,Engineer
1168,engeenieer,Engineer
1169,pOLiCE,Police
1170,teaCher,Teacher
1171,pOLICE,Police
1172,LAWyeR,Lawyer
1173,enjinear,Engineer
1174,TEACHEr,Teacher
1175,dentsists,Dentist
1176,TEACHer,Teacher
1177,DOCTOOR,Doctor
1178,lAwyeR,Lawyer
1179,TeacHer,Teacher
1180,PHARMASIST,Pharmacist
1181,arkitikt,Architect
1182,engeeneer,Engineer
1183,detnists,Dentist
1184,enjeaniar,Engineer
1185,dentst,Dentist
1186,LAwyer,Lawyer
1187,enjeineear,Engineer
1188,enjeeneaar,Engineer
1189,nurze,Nurse
1190,TeacheR,Teacher
1191,DoCTr,Doctor
1192,TEAcHER,Teacher
1193,nursee,Nurse
1194,tEACHER,Teacher
1195,engunnir,Engineer
1196,TeAcher,Teacher
1197,ENGINNER,Engineer
1198,DENTTISTS,Dentist
1199,PHARMACCIST,Pharmacist
1200,enjeineaar,Engineer
1201,TEACHer,Teacher
1202,doctorr,Doctor
1203,enjniear,Engineer
1204,DOctAr,Doctor
1205,pOLiCe,Police
1206,daktir,Pharmacist
1207,TEACHeR,Teacher
1208,Engiinear,Engineer
1209,enjineir,Engineer
1210,nurxe,Nurse
1211,doktr,Doctor
1212,engoneer,Engineer
1213,poliCE,Police
1214,denatist,Dentist
1215,lAWYER,Lawyer
1216,daktor,Doctor
1217,ENGINNEER,Engineer
1218,tEACHer,Teacher
1219,ARCHATECT,Architect
1220,ners,Nurse
1221,TeACHEr,Teacher
1222,engennir,Engineer
1223,Engniir,Engineer
1224,poLIcE,Police
1225,arckitect,Architect
1226,PoLiCE,Police
1227,PoLiCE,Police
1228,engeenear,Engineer
1229,DENTIST,Dentist
1230,DENETIST,Dentist
1231,polICE,Police
1232,docteor,Doctor
1233,nusse,Nurse
1234,nurxe,Nurse
1235,doctir,Doctor
1236,lAWYE,Lawyer
1237,nurxe,Nurse
1238,dokctar,Doctor
1239,pOLicE,Police
1240,enjinear,Engineer
1241,PoLICE,Police
1242,DOKTR,Doctor
1243,enjeineaar,Engineer
1244,enguneer,Engineer
1245,Engenir,Engineer
1246,enjinearr,Engineer
1247,DACTAR,Pharmacist
1248,daoktor,Doctor
1249,doctur,Doctor
1250,POliCe,Police
1251,ARKHITECT,Architect
1252,nuerse,Nurse
1253,ARKHITEKT,Architect
1254,dactir,Architect
1255,engniear,Engineer
1256,doctiar,Doctor
1257,enjeneir,Engineer
1258,nurbe,Nurse
1259,enjinearr,Engineer
1260,enjeenirr,Engineer
1261,Engoneer,Engineer
1262,engieneaar,Engineer
1263,dentists,Dentist
1264,DOCTUOR,Doctor
1265,DENITSS,Dentist
1266,enginirr,Engineer
1267,dentiss,Dentist
1268,ENGINNEER,Engineer
1269,ingenear,Engineer
1270,enginieer,Engineer
1271,ACCOUNTANTt,Accountant
1272,lAWYRE,Lawyer
1273,arkhitekt,Architect
1274,TEACHEr,Teacher
1275,tEACHer,Teacher
1276,ACCOUNtanT,Accountant
1277,doktorr,Doctor
1278,POlIcE,Police
1279,enjneear,Engineer
1280,lAWYEr,Lawyer
1281,docter,Doctor
1282,pOlIcE,Police
1283,ENGNEER,Engineer
1284,dentists,Dentist
1285,arckitekt,Architect
1286,POLiCE,Police
1287,ENGINNEER,Engineer
1288,nurze,Nurse
1289,acCOUNTanT,Accountant
1290,engeneer,Engineer
1291,TeaCHer,Teacher
1292,doctorr,Doctor
1293,dentists,Dentist
1294,ENGINNEER,Engineer
1295,DENTISSTS,Dentist
1296,polICE,Police
1297,DOKATAR,Doctor
1298,DOKCTUR,Doctor
1299,TEACHeR,Teacher
1300,DOCKTOR,Doctor
1301,enjuniir,Engineer
1302,teACHeR,Teacher
1303,archtikt,Architect
1304,DOCTUoR,Doctor
1305,tEaCHEr,Teacher
1306,DENTITS,Dentist
1307,architect,Architect
1308,POLiCE,Police
1309,teACHEr,Teacher
1310,TeACHEr,Teacher
1311,doctir,Doctor
1312,PoLiCE,Police
1313,DOcTeOR,Doctor
1314,Engneer,Engineer
1315,dOcTo,Doctor
1316,nusze,Nurse
1317,nusqe,Nurse
1318,denitsts,Dentist
1319,TeaCHEr,Teacher
1320,denttists,Dentist
1321,enggineear,Engineer
1322,nuzse,Nurse
1323,docter,Doctor
1324,dentists,Dentist
1325,dokcotor,Doctor
1326,tEACHER,Teacher
1327,ENJINEER,Engineer
1328,dentists,Dentist
1329,POlICe,Police
1330,poLIcE,Police
1331,engeenirr,Engineer
1332,LAWYERr,Lawyer
1333,teaCheR,Teacher
1334,teACHEr,Teacher
1335,enganeear,Engineer
1336,docteer,Teacher
1337,DOCTIR,Doctor
1338,PoLiCE,Police
1339,dentis,Dentist
1340,PHARAMCIST,Pharmacist
1341,teaCHEr,Teacher
1342,ENGINNEER,Engineer
1343,engenir,Engineer
1344,POliCE,Police
1345,denttists,Dentist
1346,DAKTOR,Doctor
1347,doktor,Doctor
1348,DENTISM,Dentist
1349,doctar,Doctor
1350,docte,Doctor
1351,pOlICE,Police
1352,Engeneear,Engineer
1353,engeinir,Engineer
1354,DOKTAAR,Doctor
1355,dedntist,Dentist
1356,DOCTIAR,Doctor
1357,TEaChEr,Teacher
1358,ENGINER,Engineer
1359,dentists,Dentist
1360,TEACher,Teacher
1361,Enginiear,Engineer
1362,DOKTOR,Doctor
1363,engeanir,Engineer
1364,dokatar,Doctor
1365,TEAcHeR,Teacher
1366,Enjneer,Engineer
1367,docters,Doctor
1368,dokcutor,Doctor
1369,enjineer,Engineer
1370,tEaCHer,Teacher
1371,engenir,Engineer
1372,DOKCTAR,Doctor
1373,PoLicE,Police
1374,TeaCHeR,Teacher
1375,teACHer,Teacher
1376,dentists,Dentist
1377,PolICE,Police
1378,dentists,Dentist
1379,teAchEr,Teacher
1380,pOlICE,Police
1381,denttists,Dentist
1382,DOCTER,Doctor
1383,PHARAMACISTS,Pharmacist
1384,POLiCE,Police
1385,TEAcHEr,Teacher
1386,nurfe,Nurse
1387,nurss,Nurse
1388,Engieneer,Engineer
1389,pharmaicist,Pharmacist
1390,PoLIcE,Police
1391,engiinear,Engineer
1392,lAWYE,Lawyer
1393,phamracist,Pharmacist
1394,denitist,Dentist
1395,nusre,Nurse
1396,pOlICE,Police
1397,TeaCHer,Teacher
1398,nurde,Nurse
1399,nurte,Nurse
1400,dentists,Dentist
1401,enginir,Engineer
1402,aCcountANT,Accountant
1403,accountant,Accountant
1404,POlIcE,Police
1405,enjineer,Engineer
